"userID","difficulty","orden","time","clicks","level","restarts","arrows_deleted"
"22052025232631","Lineal","3","23:40:10","86","4","8","8"
"22052025232631","Lineal","3","23:41:59","129","5","11","17"
"23052025083555","Exponencial","1","08:38:08","60","1","3","2"
"23052025083555","Exponencial","1","08:38:21","63","1","4","2"
"23052025083555","Exponencial","1","08:38:45","70","1","5","2"
"23052025083555","Exponencial","1","08:39:02","78","1","6","3"
"23052025083555","Exponencial","1","08:39:16","82","1","6","3"
"23052025083555","Exponencial","1","08:45:09","430","3","37","108"
"23052025113559","Lineal","1","11:37:46","41","1","2","1"
"23052025113559","Lineal","1","11:38:02","44","1","2","1"
"23052025113559","Lineal","1","11:38:31","54","2","3","1"
"23052025113559","Lineal","1","11:38:48","68","3","3","1"
"23052025113559","Lineal","1","11:39:19","75","4","4","3"
"23052025113559","Lineal","1","11:40:48","109","5","6","10"
"23052025120242","Lineal","3","12:13:47","16","1","0","0"
"23052025120242","Lineal","3","12:14:27","27","2","0","0"
"23052025120242","Lineal","3","12:15:16","43","3","0","0"
"23052025120242","Lineal","3","12:15:40","51","4","0","0"
"23052025120242","Lineal","3","12:16:39","68","5","0","1"
"23052025121725","Exponencial","1","12:18:59","14","1","0","0"
"23052025121725","Exponencial","1","12:20:06","40","3","3","2"
"23052025121725","Exponencial","1","12:20:39","57","3","3","2"
"23052025121725","Exponencial","1","12:21:48","80","5","4","5"
"23052025141436","Exponencial","1","14:15:42","21","1","1","0"
"23052025141436","Exponencial","1","14:16:00","28","1","1","0"
"23052025141436","Exponencial","1","14:16:36","54","3","2","5"
"23052025141930","Lineal","2","14:26:21","14","1","2","0"
"23052025141930","Lineal","2","14:26:37","24","1","2","0"
"23052025141930","Lineal","2","14:26:56","32","2","2","0"
"23052025141930","Lineal","2","14:27:18","48","3","3","1"
"23052025141930","Lineal","2","14:27:47","55","4","4","1"
"23052025141930","Lineal","2","14:28:15","67","5","5","1"
"23052025141930","Lineal","2","14:30:14","102","6","6","10"
"23052025161212","Exponencial","1","16:13:38","25","1","1","0"
"23052025161212","Exponencial","1","16:14:02","30","1","1","0"
"23052025161212","Exponencial","1","16:15:02","46","3","3","0"
"23052025161212","Exponencial","1","16:15:45","57","5","4","0"
"23052025161759","Exponencial","1","16:19:23","22","1","0","0"
"23052025161759","Exponencial","1","16:20:24","47","3","0","0"
"23052025161759","Exponencial","1","16:21:53","66","5","0","1"
"23052025161759","Exponencial","1","16:24:39","91","6","1","5"
"23052025191751","Exponencial","2","19:25:09","42","1","17","3"
"23052025191751","Exponencial","2","19:25:37","48","1","17","4"
"23052025191751","Exponencial","2","19:26:14","64","3","18","4"
"23052025191751","Exponencial","2","19:29:36","139","5","26","22"
"23052025213012","Exponencial","2","21:35:14","7","1","1","0"
"23052025213012","Exponencial","2","21:35:38","19","1","1","0"
"23052025213012","Exponencial","2","21:36:13","40","3","2","6"
"23052025213012","Exponencial","2","21:37:02","60","5","4","8"
"23052025214302","Exponencial","1","21:44:55","48","1","2","2"
"23052025214302","Exponencial","1","21:45:19","53","1","2","2"
"23052025214604","Lineal","2","21:51:35","21","1","2","2"
"23052025214604","Lineal","2","21:51:49","25","1","2","2"
"23052025214604","Lineal","2","21:52:17","35","2","3","2"
"23052025214604","Lineal","2","21:52:39","50","3","4","2"
"23052025214604","Lineal","2","21:53:00","57","4","4","2"
"23052025214604","Lineal","2","21:53:33","73","5","4","2"
"23052025215457","Lineal","1","21:57:34","21","1","3","0"
"23052025215457","Lineal","1","22:00:13","52","1","10","4"
"23052025220159","Lineal","2","22:06:12","3","1","0","0"
"23052025220159","Lineal","2","22:06:49","12","2","1","0"
"23052025220159","Lineal","2","22:07:26","27","3","2","0"
"23052025220159","Lineal","2","22:08:10","37","4","3","0"
"23052025220159","Lineal","2","22:09:42","67","5","6","9"
"23052025233132","Lineal","1","23:34:14","14","1","2","0"
"23052025233132","Lineal","1","23:35:58","38","1","4","3"
"23052025233132","Lineal","1","23:36:07","40","1","4","3"
"23052025233132","Lineal","1","23:37:33","60","2","4","5"
